lsoa21cd,mean_delay,vehicle_count
E01006160,2.04,1
E01006160,1.7,1
E01006161,0.43,1
E01005851,-1.07,1
E01004775,2.56,1
E01004775,-1.65,1
E01004776,0.34,3
E01004776,-2.21,3
E01004776,-1.84,3
E01004776,0.26,3
E01004776,-0.54,3
E01004776,-0.65,3
E01004775,-0.21,3
E01004775,-1.3,3
E01004775,-1.79,3
E01006370,3.65,2
E01006369,-0.27,3
E01006370,3.76,3
E01006392,4.05,3
E01006392,0.28,3
E01006386,3.85,3
E01006386,0.16,3
E01006391,2.46,3
E01006388,1.04,3
E01006391,1.67,3
E01006390,3.21,3
E01006390,-0.09,3
E01006387,3.16,3
E01006391,0.25,3
E01006236,-2.79,3
E01006236,0.22,3
E01006236,-1.6,3
E01006236,-0.81,3
E01006236,-0.03,3
E01006236,-1.63,3
E01006236,-0.37,3
E01006236,-2.27,3
E01006236,0.66,3
E01006236,-3.1,3
E01006236,1,3
E01006236,-3.12,3
E01006236,-0.48,3
E01006235,1.55,3
E01006235,0.85,3
E01006235,-0.21,3
E01006236,0.95,3
E01006236,0.6,3
E01006236,0.11,3
E01006236,1.31,3
E01006388,-0.98,3
E01006388,0.81,3
E01006236,0,3
E01006388,1.07,3
E01006391,0.54,3
E01006387,0.2,3
E01006370,-0.01,3
E01006369,16.6,8
E01006369,20.06,5
E01006362,31.03,7
E01006349,20.67,6
E01006349,15.68,7
E01006349,20.77,6
E01006352,21,6
E01006351,15.57,7
E01006351,21.11,6
E01006351,15.09,7
E01006353,20.99,6
E01006353,15.28,7
E01006354,14.85,7
E01006354,27.99,7
E01006359,15.26,7
E01006359,28.7,7
E01006359,28.4,7
E01006359,15,7
E01006358,15.02,7
E01006399,16.78,6
E01006363,28.39,7
E01006358,29.53,7
E01006358,14.94,7
E01006358,29.33,7
E01006399,21.81,6
E01006399,14.43,7
E01006399,22.19,6
E01006399,13.89,7
E01006363,28.63,7
E01006362,20.19,5
E01006349,20.5,6
E01006349,15.83,7
E01006362,21.16,6
E01006349,19.99,6
E01006349,15.08,7
E01006349,15.23,7
E01006362,29.89,7
E01006362,21.24,6
E01006369,1.31,12
E01006369,4.35,13
E01006368,2.91,15
E01006364,2.08,14
E01006349,3.56,17
E01006349,1.75,17
E01006349,2.6,15
E01006352,2.81,13
E01006351,1.09,18
E01006351,3.05,12
E01006351,1.3,18
E01006353,3.21,12
E01006353,1.02,18
E01006354,0.94,18
E01006354,3.36,12
E01006359,0.86,18
E01006359,3.44,12
E01006359,3.59,12
E01006359,0.97,18
E01006358,1.14,18
E01006399,1.97,18
E01006363,2.92,12
E01006358,3.71,12
E01006358,1.69,18
E01006358,3.03,12
E01006399,3.26,12
E01006399,1.43,18
E01006399,3.06,12
E01006399,1.49,18
E01006364,2.31,18
E01006362,2.4,13
E01006365,2.26,14
E01006365,1.72,19
E01006365,2.13,14
E01006364,2.32,19
E01006364,1.75,14
E01006364,1.64,19
E01006364,2,14
E01006366,1.3,19
E01006366,2.17,15
E01006366,1.17,20
E01006366,2.44,15
E01006366,2.74,15
E01006367,1.26,20
